name,category,address,lat,lng,tags,formatted_hours
(주)파란 인베스트먼트,workspace,경기도 부천시 조마루로385번길 92,37.50081646,126.7901822,"[""보안"", ""주말운영"", ""창고"", ""공유오피스"", ""난방"", ""프로젝터"", ""루프탑"", ""주차가능"", ""와이파이"", ""워크스페이스"", ""24시간"", ""에어컨"", ""인쇄/복사"", ""독립오피스""]",24시간 연중무휴
[1인실] 선릉 공유오피스 더공간A,workspace,서울특별시 강남구 테헤란로70길 14-10,37.50436547,127.0527282,"[""주말운영"", ""공유오피스"", ""난방"", ""카페"", ""프로젝터"", ""루프탑"", ""화이트보드"", ""주차가능"", ""와이파이"", ""워크스페이스"", ""라운지"", ""다과제공"", ""24시간"", ""락커"", ""에어컨"", ""인쇄/복사"", ""독립오피스""]",24시간 연중무휴
[1인실]선릉 공유오피스 더공간B,workspace,서울특별시 강남구 테헤란로70길 14-10,37.50438925,127.0527431,"[""보안"", ""주말운영"", ""공유오피스"", ""난방"", ""카페"", ""프로젝터"", ""루프탑"", ""화이트보드"", ""주차가능"", ""와이파이"", ""워크스페이스"", ""라운지"", ""다과제공"", ""24시간"", ""락커"", ""에어컨"", ""인쇄/복사"", ""독립오피스""]",24시간 연중무휴
[2인] 마이파트너스 강남,workspace,서울특별시 강남구 강남대로 354,37.49464902,127.0297333,"[""보안"", ""주말운영"", ""공유오피스"", ""난방"", ""프로젝터"", ""화이트보드"", ""주차가능"", ""와이파이"", ""워크스페이스"", ""라운지"", ""다과제공"", ""24시간"", ""락커"", ""에어컨"", ""인쇄/복사"", ""독립오피스""]",24시간 연중무휴
[2인실]선릉 공유오피스 더공간(월계약),workspace,서울특별시 강남구 테헤란로70길 14-10,37.50436547,127.0527282,"[""주말운영"", ""공유오피스"", ""난방"", ""카페"", ""프로젝터"", ""루프탑"", ""와이파이"", ""라운지"", ""워크스페이스"", ""락커"", ""다과제공"", ""24시간"", ""화이트보드"", ""에어컨"", ""인쇄/복사"", ""독립오피스""]",24시간 연중무휴
[2인실]선릉 공유오피스 더공간A,workspace,서울특별시 강남구 테헤란로70길 14-10,37.50436547,127.0527282,"[""주말운영"", ""공유오피스"", ""난방"", ""카페"", ""프로젝터"", ""루프탑"", ""와이파이"", ""라운지"", ""워크스페이스"", ""락커"", ""다과제공"", ""24시간"", ""화이트보드"", ""에어컨"", ""인쇄/복사"", ""독립오피스""]",24시간 연중무휴
[3인실]선릉 공유오피스 더공간B,workspace,서울특별시 강남구 테헤란로70길 14-10,37.50436547,127.0527282,"[""주말운영"", ""공유오피스"", ""난방"", ""카페"", ""프로젝터"", ""루프탑"", ""와이파이"", ""라운지"", ""워크스페이스"", ""락커"", ""다과제공"", ""24시간"", ""화이트보드"", ""에어컨"", ""인쇄/복사"", ""독립오피스""]",24시간 연중무휴
[3인실]선릉 공유오피스 더공간C,workspace,서울특별시 강남구 테헤란로70길 14-10,37.50438925,127.0527431,"[""보안"", ""주말운영"", ""공유오피스"", ""난방"", ""카페"", ""프로젝터"", ""루프탑"", ""와이파이"", ""라운지"", ""워크스페이스"", ""락커"", ""다과제공"", ""24시간"", ""화이트보드"", ""에어컨"", ""인쇄/복사"", ""독립오피스""]",24시간 연중무휴
"[4인,내측] 마이파트너스 삼성",workspace,서울특별시 강남구 테헤란로108길 25,37.50787767,127.0664812,"[""주말운영"", ""공유오피스"", ""난방"", ""프로젝터"", ""연중무휴"", ""주차가능"", ""와이파이"", ""워크스페이스"", ""락커"", ""다과제공"", ""24시간"", ""화이트보드"", ""에어컨"", ""인쇄/복사"", ""독립오피스""]",24시간 연중무휴
[5인] 마이파트너스 강남,workspace,서울특별시 강남구 강남대로 354,37.49464902,127.0297333,"[""보안"", ""주말운영"", ""공유오피스"", ""난방"", ""프로젝터"", ""화이트보드"", ""주차가능"", ""와이파이"", ""워크스페이스"", ""라운지"", ""다과제공"", ""24시간"", ""락커"", ""에어컨"", ""인쇄/복사"", ""독립오피스""]",24시간 연중무휴
